date,last,bid,ask
11/3/2020,3369.16,3317.83,3410.89
11/2/2020,3310.24,3275.93,3355.66
10/30/2020,3269.96,3237.76,3325.38
10/29/2020,3310.11,3243.47,3326.31
10/28/2020,3271.03,3246.72,3328.45
10/27/2020,3390.68,3342.98,3437.03
10/26/2020,3400.97,3360.8,3437.98
10/23/2020,3465.39,3438.1,3513.72
10/22/2020,3453.49,3426.09,3503.56
10/21/2020,3435.56,3400.91,3480.89
10/20/2020,3443.12,3404.69,3476.43
10/19/2020,3426.92,3404.72,3493.72
10/16/2020,3483.81,3440.53,3510.57
10/15/2020,3483.34,3438.95,3540.04
10/14/2020,3488.67,3444.81,3534.22
10/13/2020,3511.93,3468.76,3559.54
10/12/2020,3534.22,3503.24,3951.27
10/9/2020,3477.13,3448.42,3527.74
10/8/2020,3446.83,3417.79,3506.63
10/7/2020,3419.45,3378.34,3507.06
10/6/2020,3360.95,3306.67,3396.36
10/5/2020,3408.63,3362.26,3437.02
10/2/2020,3348.44,3309.72,3391.66
10/1/2020,3380.8,3341.53,3414.2
9/30/2020,3363,3309.69,3387.58
9/29/2020,3335.47,3296.35,3368.3
9/28/2020,3351.6,3325.43,3387.28
9/25/2020,3298.46,3253.27,3338.82
9/24/2020,3246.59,3217.78,3285.05
9/23/2020,3236.92,3207.2,3290.1
9/22/2020,3315.57,3275.38,3347.04
9/21/2020,3281.06,3249.65,3323.05
9/18/2020,3319.47,3276.6,3366.21
9/17/2020,3357.01,3313.28,3399.8
9/16/2020,3385.49,3350.94,3442.61
9/15/2020,3401.2,3367.59,3507.66
9/14/2020,3383.54,3342.12,3427.9
9/11/2020,3340.97,3290.74,3383.98
9/10/2020,3339.19,3311.94,3379.22
9/9/2020,3398.96,3358.27,3443.78
9/8/2020,3331.84,3295.46,3386.66
9/4/2020,3426.96,3373,3481.35
9/3/2020,3455.06,3411.59,3504.81
9/2/2020,3580.84,3538.08,3698.99
9/1/2020,3526.65,3496.21,3565.42
8/31/2020,3500.31,3469.72,3534
8/28/2020,3508.01,3475.48,3556.34
8/27/2020,3484.55,3444.33,3529.95
8/26/2020,3478.73,3444.8,3518.77
8/25/2020,3443.62,3421.08,3473.33
8/24/2020,3431.28,3401,3466.16
8/21/2020,3397.16,3369.04,3436.08
8/20/2020,3385.51,3354.33,3418.05
8/19/2020,3374.85,3340.8,3409.14
8/18/2020,3389.78,3359.27,3428.88
8/17/2020,3381.99,3349.79,3441.44
8/14/2020,3372.85,3331.91,3401.65
8/13/2020,3373.43,3343.57,3403.81
8/12/2020,3380.35,3341.54,3525.09
8/11/2020,3333.69,3308.01,3381.12
8/10/2020,3360.47,3324.26,3402.11
8/7/2020,3351.28,3320.28,3438.29
8/6/2020,3349.16,3318.58,3376.22
8/5/2020,3327.77,3286.63,3387.06
8/4/2020,3306.51,3271.83,3351.16
8/3/2020,3294.61,3257.96,3328.88
7/31/2020,3271.12,3237.59,3327.37
7/30/2020,3246.22,3237.82,3335.37
7/29/2020,3258.44,3225.45,3490.03
7/28/2020,3218.44,3184.86,3268.05
7/27/2020,3239.41,3204.08,3284.14
7/24/2020,3215.63,3177.74,3253.51
7/23/2020,3235.66,3193.43,3271.64
7/22/2020,3276.02,3223.09,3316.66
7/21/2020,3257.3,3228.22,3487.12
